symbol,token,name,lotsize
OSWALGREEN,471,OSWALGREEN,1
BANKBARODA,4668,BANKBARODA,1
BANKINDIA,4745,BANKINDIA,1
BIRLACORPN,480,BIRLACORPN,1
INDRAMEDCO,4751,INDRAMEDCO,1
KCPSUGIND,4809,KCPSUGIND,1
SNOWMAN,4843,SNOWMAN,1
BOMDYEING,513,BOMDYEING,1
INDUSINDBK,5258,INDUSINDBK,1
KRSNAA,5359,KRSNAA,1
AAVAS,5385,AAVAS,1
MOL,5394,MOL,1
RTNPOWER,17520,RTNPOWER,1
SUNTECK,17641,SUNTECK,1
MIDSELIETF,17702,MIDSELIETF,1
DEN,17722,DEN,1
REDTAPE,17859,REDTAPE,1
KCP,1841,KCP,1
LTTS,18564,LTTS,1
SAMHI,18614,SAMHI,1
YATRA,18760,YATRA,1
PNBHOUSING,18908,PNBHOUSING,1
CUMMINSIND,1901,CUMMINSIND,1
HEADSUP,19205,HEADSUP,1
VALIANTLAB,19218,VALIANTLAB,1
LIQUIDETF,1927,LIQUIDETF,1
IRMENERGY,19597,IRMENERGY,1
MAXESTATES,19646,MAXESTATES,1
JITFINFRA,19691,JITFINFRA,1
HONASA,19813,HONASA,1
AMNPLST,19867,AMNPLST,1
AHLADA,2004,AHLADA,1
INTENTECH,20071,INTENTECH,1
TASTYBITE,20092,TASTYBITE,1
RAMKY,20134,RAMKY,1
TATATECH,20293,TATATECH,1
AXISGOLD,20532,AXISGOLD,1
SCHAND,20698,SCHAND,1
JYOTICNC,21334,JYOTICNC,1
SALASAR,21362,SALASAR,1
COCHINSHIP,21508,COCHINSHIP,1
MEDIASSIST,21705,MEDIASSIST,1
ALPL30IETF,22344,ALPL30IETF,1
HDFCNIFBAN,22433,HDFCNIFBAN,1
EPACK,22463,EPACK,1
NOVAAGRI,22477,NOVAAGRI,1
PARKHOTELS,22649,PARKHOTELS,1
MOTOGENFIN,2268,MOTOGENFIN,1
SRM,23402,SRM,1
JNKINDIA,23621,JNKINDIA,1
FILATFASH,23647,FILATFASH,1
BSLGOLDETF,23804,BSLGOLDETF,1
SANDHAR,2397,SANDHAR,1
BOROSCI,24014,BOROSCI,1
IVZINNIFTY,24217,IVZINNIFTY,1
RELIABLE,24378,RELIABLE,1
EMCURE,24398,EMCURE,1
ABGSEC,24404,ABGSEC,1
AGIIL,24445,AGIIL,1
EVINDIA,24461,EVINDIA,1
SANSTAR,24582,SANSTAR,1
